iter	Passed	Remaining
400	18433	27535
401	18466	27470
402	18493	27395
403	18513	27311
404	18530	27223
405	18554	27146
406	18576	27065
407	18601	26990
408	18630	26920
409	18652	26841
410	18680	26770
411	18711	26704
412	18732	26625
413	18758	26552
414	18782	26476
415	18806	26401
416	18833	26330
417	18856	26254
418	18878	26178
419	18903	26105
420	18930	26035
421	18955	25962
422	18981	25892
423	19000	25812
424	19018	25730
425	19030	25642
426	19047	25560
427	19072	25489
428	19099	25421
429	19125	25351
430	19148	25279
431	19176	25213
432	19200	25142
433	19227	25075
434	19250	25004
435	19279	24939
436	19306	24873
437	19329	24801
438	19351	24729
439	19375	24659
440	19400	24592
441	19427	24525
442	19467	24477
443	19497	24416
444	19525	24352
445	19554	24289
446	19577	24219
447	19601	24152
448	19629	24088
449	19658	24027
450	19687	23965
451	19707	23892
452	19748	23846
453	19782	23791
454	19807	23725
455	19836	23664
456	19862	23599
457	19886	23533
458	19922	23481
459	19960	23431
460	20005	23390
461	20052	23351
462	20080	23290
463	20109	23229
464	20133	23163
465	20154	23095
466	20176	23027
467	20200	22962
468	20229	22903
469	20250	22835
470	20282	22779
471	20305	22714
472	20332	22653
473	20355	22588
474	20371	22515
475	20386	22442
476	20411	22380
477	20426	22306
478	20450	22244
479	20480	22186
480	20513	22134
481	20550	22085
482	20588	22037
483	20611	21974
484	20639	21915
485	20660	21850
486	20680	21784
487	20718	21737
488	20755	21689
489	20789	21638
490	20830	21593
491	20861	21539
492	20894	21487
493	20924	21433
494	20954	21377
495	20977	21315
496	21012	21266
497	21033	21202
498	21050	21134
499	21067	21067
500	21079	20995
501	21094	20926
502	21109	20857
503	21140	20804
504	21177	20758
505	21206	20703
506	21233	20647
507	21251	20581
508	21265	20513
509	21277	20443
510	21291	20374
511	21304	20306
512	21317	20237
513	21332	20170
514	21344	20101
515	21357	20033
516	21372	19967
517	21398	19911
518	21413	19845
519	21428	19780
520	21450	19721
521	21486	19675
522	21517	19624
523	21544	19570
524	21566	19512
525	21592	19458
526	21622	19407
527	21652	19356
528	21680	19303
529	21701	19244
