iter	F1	Logloss
68	0.6939611054	0.5753728701
69	0.6926673751	0.575062213
70	0.6931653276	0.5748928031
71	0.6936538801	0.5746170688
72	0.6947412972	0.5743021226
73	0.6946209233	0.5740929072
74	0.6943374898	0.5738231007
75	0.6946251768	0.5733593258
76	0.6949757805	0.5731673331
77	0.6952125027	0.5727514809
78	0.6942605247	0.5725489896
79	0.694980695	0.5724676925
80	0.6955722167	0.5721183371
81	0.6955630193	0.5720088374
82	0.6970092864	0.5713648943
83	0.6963983051	0.5713377964
84	0.6961922575	0.571218596
85	0.6960939981	0.5710695017
86	0.6974727715	0.5704791105
87	0.6983859057	0.5702514331
88	0.6984104656	0.5702103671
89	0.6984205157	0.5701638719
90	0.6985679603	0.5700342543
91	0.69876465	0.5699209807
92	0.7004219409	0.5695989656
93	0.7008961518	0.5695358906
94	0.7011179076	0.5694878933
95	0.7026609563	0.5692839569
96	0.7043743214	0.568750804
97	0.7049180328	0.5683501944
98	0.7057711826	0.5679160147
99	0.7057835037	0.5677365458
100	0.7061047326	0.5676870541
101	0.7060553028	0.5676309081
102	0.7059194175	0.5675173236
103	0.705449448	0.5674067086
104	0.7068068313	0.5667407715
105	0.707569888	0.5666116827
106	0.707434555	0.5664183397
107	0.707212394	0.5662870447
108	0.7073604858	0.5662276826
109	0.7095201616	0.5659970221
110	0.7115818719	0.5656816545
111	0.7110477647	0.5655634536
112	0.7100591716	0.5652338014
113	0.7089958159	0.565090616
114	0.7124752613	0.5649568563
115	0.7118325918	0.5648064113
116	0.7115992909	0.5646338743
117	0.712132787	0.5642237402
118	0.7120480672	0.5638660376
119	0.7140633108	0.5636585917
120	0.7148636034	0.5635671191
121	0.7148636034	0.5635346508
122	0.7150559934	0.5634880626
123	0.7167757492	0.5629485382
124	0.7171150071	0.5626615743
125	0.7170409147	0.5625789098
126	0.7170318313	0.5624398341
127	0.7176223728	0.5623753909
128	0.7178869897	0.5621310396
129	0.718688795	0.5618384685
130	0.7183752019	0.5617581086
131	0.7196954106	0.5613402394
132	0.7202058319	0.5607471584
133	0.7202058319	0.5606800376
134	0.7204197819	0.5605737113
135	0.7203541038	0.5604376
136	0.720247083	0.5603289138
137	0.7201976529	0.5601123122
138	0.7199258445	0.5599317584
139	0.72	0.5596492631
140	0.7201319452	0.5593737462
141	0.7201979926	0.5592678751
142	0.7199422561	0.5592162271
143	0.7200329818	0.5586871518
144	0.7202061856	0.5585877726
145	0.7201814371	0.5585571368
146	0.7204452537	0.5584820825
147	0.7200247644	0.5582431
148	0.7200412868	0.558201235
149	0.7200660611	0.5581207866
150	0.720470815	0.5577876591
151	0.7199669171	0.557541987
152	0.7201487398	0.5573185186
153	0.7212968062	0.5570407478
154	0.7212719827	0.5570207329
155	0.7214536444	0.5567097053
156	0.7214863238	0.5557652429
157	0.7216182744	0.5557571094
158	0.722762412	0.555388257
159	0.723142484	0.555113011
160	0.7229536938	0.5550401447
161	0.7228965375	0.5549250775
162	0.7228468283	0.5548728994
163	0.7226601494	0.5547599726
164	0.7227422907	0.5547223251
165	0.7228990295	0.5546813098
166	0.7227671657	0.5546466912
167	0.7229636764	0.5542379631
168	0.7236719959	0.5537890805
169	0.7237715347	0.5536876601
170	0.7244294748	0.5533707904
171	0.7246426608	0.5531129647
172	0.7248557296	0.5528850524
173	0.7246107846	0.5525800186
174	0.7246107846	0.5524269118
175	0.7245360825	0.5522488911
176	0.724742268	0.5520588405
177	0.7247173637	0.5519249104
178	0.7250300636	0.5516932455
179	0.7251682923	0.5516036393
180	0.7257682403	0.5511653783
181	0.7253608247	0.5509659187
182	0.7252792576	0.5508990821
183	0.7254220969	0.5508013318
184	0.7253789832	0.5507519138
185	0.7255171466	0.550627297
186	0.7269357496	0.5501513464
187	0.7267355982	0.5498995559
188	0.7266357548	0.5497793032
189	0.7270791841	0.5496880731
190	0.7274225106	0.5494788784
191	0.7273913342	0.5490054442
192	0.7274474804	0.5485008181
193	0.7294488837	0.5481282825
194	0.7297603127	0.5477784916
195	0.7295934122	0.5473114791
196	0.7296935589	0.5471207583
197	0.7301304049	0.5469811393
198	0.7301609085	0.546554323
199	0.7299355193	0.5461304224
200	0.7303274473	0.5458622538
201	0.7302076907	0.5455299989
202	0.7302076907	0.5454833437
203	0.7305491795	0.5452598809
204	0.7307099558	0.5447117283
205	0.7308351031	0.5443345937
206	0.7306796383	0.5438219992
207	0.7302631579	0.5435674106
208	0.7305688828	0.5435213788
209	0.7307745031	0.5433083578
210	0.7313161772	0.5427402164
211	0.7319029339	0.542351341
212	0.7324947733	0.5418185439
213	0.7314716464	0.541274721
214	0.7318326652	0.5409010352
215	0.7313361212	0.5405386961
216	0.7321636625	0.5401581775
217	0.7330846367	0.5396224675
218	0.7325342466	0.5392878325
219	0.7328448158	0.5389906174
220	0.7330000685	0.5389726153
221	0.7337804544	0.5383752085
222	0.7345598796	0.5378788854
223	0.7349282297	0.5372475612
224	0.7349825736	0.5369012395
225	0.7349825736	0.5364724877
226	0.7353091991	0.5360092309
227	0.7354388843	0.5358318031
228	0.7361158549	0.5353120631
229	0.737538808	0.534838438
230	0.7372516895	0.5342791511
231	0.738992747	0.533941248
232	0.7389142429	0.5337331594
233	0.7395610005	0.5334750781
234	0.7405418267	0.5330919589
235	0.7401510512	0.5327652176
236	0.7407205982	0.5324083392
237	0.7407205982	0.5321062245
238	0.7408766565	0.531724305
239	0.7413072295	0.5315358239
240	0.741128484	0.5312377125
241	0.7416142736	0.5308370483
242	0.7419168395	0.5304921024
243	0.7427950711	0.5300130941
244	0.7432276461	0.5295322398
245	0.7430473021	0.5291526072
246	0.7430239663	0.5290161901
247	0.7430996435	0.5287180217
248	0.7440171085	0.5284268029
249	0.7441734233	0.5279505256
250	0.7442176409	0.5274589297
251	0.7445285196	0.5271488346
252	0.7441670912	0.5266344232
253	0.7442744207	0.5262498268
254	0.745272148	0.5257377118
255	0.7453479307	0.5256153576
256	0.745375703	0.5252871417
257	0.745601844	0.524911685
258	0.7460855419	0.5244974647
259	0.7462130198	0.5243601259
260	0.7464688548	0.5240210645
261	0.7472326597	0.5234858233
262	0.7482730597	0.5232135076
263	0.7489845654	0.522770333
264	0.7488825681	0.5225164294
265	0.7494411705	0.5222570587
266	0.7496952458	0.5218350872
267	0.7498730234	0.5215012635
268	0.7501777432	0.5212145774
269	0.7512429398	0.5208555434
270	0.7509638147	0.5205212621
271	0.7518008725	0.5201204646
272	0.7515471239	0.5197564861
273	0.7522309356	0.5192510985
274	0.7525107361	0.5191405009
275	0.7525107361	0.5191184781
276	0.7522581955	0.5187175131
277	0.7532959232	0.5183632011
278	0.754131603	0.5179033472
279	0.7544849488	0.5175248761
280	0.7549642037	0.5171936248
281	0.7548877258	0.5168090904
282	0.7548648649	0.5166632858
283	0.7552688463	0.5162248355
284	0.7554970108	0.5160742139
285	0.7553978713	0.5158577039
286	0.7556726094	0.5154424385
287	0.7559517779	0.5152419759
288	0.7568296796	0.5149308252
289	0.7569573284	0.5145737131
290	0.7574347562	0.5142826297
291	0.7578883495	0.5140906462
292	0.7580161165	0.5138867584
293	0.7574367622	0.5134174138
294	0.7575900688	0.5133116463
295	0.75844401	0.5130568715
296	0.7593222623	0.5126225335
297	0.7598491481	0.5123588517
298	0.7598006197	0.5120979948
299	0.7602532157	0.5116943852
300	0.7605292395	0.511390885
301	0.7608820064	0.5113520059
302	0.760904685	0.5110809456
303	0.7609076219	0.5107601754
304	0.7619784136	0.5104062898
305	0.7621768799	0.5101293274
306	0.7620488002	0.5098278042
307	0.7620744127	0.5095211126
308	0.762276073	0.5093679058
309	0.7619751924	0.5090062057
310	0.7622983871	0.5086472199
311	0.7620455615	0.5083607655
312	0.7623529412	0.5081157916
313	0.7619784136	0.507952172
314	0.7627238217	0.507724366
315	0.7630907626	0.5073970868
316	0.7630907626	0.5073882964
317	0.7632885906	0.5072274822
318	0.7632295132	0.5070409908
319	0.7634751654	0.5068543872
320	0.7632038704	0.5063687374
321	0.763980788	0.5059862757
322	0.7640321118	0.5059554606
323	0.763929471	0.5057434637
324	0.7641785031	0.5055407784
325	0.7644313107	0.5052561806
326	0.7648559726	0.5050350018
327	0.7652979066	0.5046670086
328	0.7649033298	0.5044233695
329	0.7659788626	0.5040720512
330	0.7669248567	0.5037922726
331	0.7664284995	0.5033644281
332	0.7667795928	0.5031446485
333	0.7670443119	0.5028781253
334	0.7675961925	0.5026211569
335	0.7676476503	0.5024884795
336	0.7676733818	0.5024774674
337	0.7684115342	0.5023568729
338	0.7688134231	0.5019445257
339	0.7699257177	0.5016433846
340	0.7698279901	0.5013988732
341	0.7699514807	0.5013852768
342	0.7697559996	0.5011370714
343	0.7697559996	0.5008980666
344	0.7696014456	0.5005733211
345	0.7699976582	0.5003444766
346	0.7703069045	0.5000454871
347	0.7702756959	0.4998032976
348	0.7709642905	0.4994775004
349	0.7713397305	0.4991906396
350	0.7713913131	0.4990964813
351	0.7713913131	0.4990867949
352	0.7716835456	0.4989173939
353	0.771657754	0.4987756911
354	0.7723764659	0.4984376417
355	0.772402272	0.4984286541
356	0.7726483164	0.4980008079
357	0.7725313283	0.4977910316
358	0.7724797006	0.4976249201
359	0.7724797006	0.4976155967
360	0.7724797006	0.4975989354
361	0.7720846285	0.4974442663
362	0.7729003808	0.4972539274
363	0.7730295032	0.4970760648
364	0.7732495991	0.4969046629
365	0.7732299776	0.4966443011
366	0.7740448838	0.4963686306
367	0.7742904841	0.4961208246
368	0.7743421931	0.4958423604
369	0.7745684042	0.4957212076
370	0.7747621432	0.4955403819
371	0.7749107053	0.495283601
372	0.7749107053	0.4952664929
373	0.7749624437	0.4952431291
374	0.7749107053	0.4949441362
375	0.7756341789	0.4945877828
376	0.7760088115	0.4942656481
377	0.7764281901	0.4938927317
378	0.7766024892	0.4937499931
379	0.776383419	0.4934501231
380	0.77630569	0.4931930379
381	0.7764281901	0.4929940695
382	0.7764540995	0.4927622977
383	0.7766024892	0.492509209
384	0.7765247564	0.4922847185
385	0.7765247564	0.4922674711
386	0.7771699246	0.4920510075
387	0.7771699246	0.4917842443
388	0.7773441409	0.4916268173
389	0.7773441409	0.4916177007
390	0.7773441409	0.4916062138
391	0.7773700714	0.491598626
392	0.7776147279	0.4914233904
393	0.7774738106	0.4911589701
394	0.7777258775	0.4910126407
395	0.7779001101	0.4908494812
396	0.7779520203	0.4905609018
397	0.7784594865	0.4901831784
398	0.7782929188	0.4899130673
399	0.7786152615	0.4896666634
400	0.7787374529	0.4895213695
401	0.7788596199	0.4892668995
402	0.7796519768	0.4890807685
403	0.7796779678	0.4888826997
404	0.7794598199	0.4887656147
405	0.7794858115	0.488626453
406	0.7802439512	0.4884848446
407	0.7801820425	0.4882795381
408	0.7805219478	0.4880684988
409	0.7806602201	0.4877365271
410	0.7812	0.4875030621
411	0.7814176692	0.4873522958
412	0.7812	0.4871550995
413	0.782764931	0.4870543279
414	0.782964565	0.4868311479
415	0.7829906169	0.4868204291
416	0.7829385148	0.4866195249
417	0.7829994009	0.4863648337
418	0.7831209025	0.4860972774
419	0.7835113285	0.4859243888
420	0.7839276211	0.4856340419
421	0.7833205764	0.4853957199
422	0.7835113285	0.4852052319
423	0.7836066664	0.4849244882
424	0.7840659706	0.4847248911
425	0.7839968073	0.4845440252
426	0.7841271953	0.4843736566
427	0.7840319361	0.4842880952
428	0.7844219769	0.4840272683
429	0.7848210722	0.483657918
430	0.7852201676	0.483477616
431	0.7853935947	0.4831977647
432	0.7856359102	0.4830398037
433	0.7860679983	0.4828256994
434	0.7858615415	0.4827146321
435	0.7863980854	0.4825707987
436	0.7865385255	0.4822462757
437	0.7871435219	0.4819847809
438	0.7870225709	0.4819750817
439	0.7868917841	0.4817143959
440	0.7872545436	0.4815699953
441	0.7866662235	0.4813862529
442	0.7869440936	0.481139152
443	0.7869964101	0.4809029171
444	0.788142345	0.4806107231
445	0.7882891854	0.4804545775
446	0.7883153527	0.4801948514
447	0.7883676925	0.4800001585
448	0.7886613337	0.479935901
449	0.7888708124	0.4797476436
450	0.7889231995	0.4796020926
451	0.7888184323	0.479375198
